interval,start,end
b1i1,0.0,0.046875
b1i2,0.046875,0.328125
b1i3,0.328125,0.421875
b1i4,0.421875,0.703125
b1i5,0.703125,0.796875
b1i6,0.796875,1.078125
b1i7,1.078125,1.171875
b1i8,1.171875,1.359375
b1i9,1.359375,1.453125
b1i10,1.453125,1.546875
b1i11,1.546875,1.828125
b1i12,1.828125,1.921875
b1i13,1.921875,2.203125
b1i14,2.203125,2.296875
b1i15,2.296875,2.578125
b1i16,2.578125,2.671875
b1i17,2.671875,2.859375
b1i18,2.859375,2.953125
b1i19,2.953125,3.046875
b1i20,3.046875,3.328125
b1i21,3.328125,3.421875
b1i22,3.421875,3.703125
b1i23,3.703125,3.796875
b1i24,3.796875,4.078125
b1i25,4.078125,4.171875
b1i26,4.171875,4.359375
b1i27,4.359375,4.453125
b1i28,4.453125,4.546875
b1i29,4.546875,4.828125
b1i30,4.828125,4.921875
b1i31,4.921875,5.203125
b1i32,5.203125,5.296875
b1i33,5.296875,5.578125
b1i34,5.578125,5.671875
b1i35,5.671875,5.859375
b1i36,5.859375,5.953125
b2i1,5.953125,6.046875
b2i2,6.046875,6.328125
b2i3,6.328125,6.421875
b2i4,6.421875,6.703125
b2i5,6.703125,6.796875
b2i6,6.796875,7.078125
b2i7,7.078125,7.171875
b2i8,7.171875,7.359375
b2i9,7.359375,7.453125
b2i10,7.453125,7.546875
b2i11,7.546875,7.828125
b2i12,7.828125,7.921875
b2i13,7.921875,8.203125
b2i14,8.203125,8.296875
b2i15,8.296875,8.578125
b2i16,8.578125,8.671875
b2i17,8.671875,8.859375
b2i18,8.859375,8.953125
b2i19,8.953125,9.046875
b2i20,9.046875,9.328125
b2i21,9.328125,9.421875
b2i22,9.421875,9.703125
b2i23,9.703125,9.796875
b2i24,9.796875,10.078125
b2i25,10.078125,10.171875
b2i26,10.171875,10.359375
b2i27,10.359375,10.453125
b2i28,10.453125,10.546875
b2i29,10.546875,10.828125
b2i30,10.828125,10.921875
b2i31,10.921875,11.203125
b2i32,11.203125,11.296875
b2i33,11.296875,11.578125
b2i34,11.578125,11.671875
b2i35,11.671875,11.859375
b2i36,11.859375,11.953125
b3i1,11.953125,12.044897075
b3i2,12.044897075,12.311847975
b3i3,12.311847975,12.400800165624998
b3i4,12.400800165624998,12.6690104875
b3i5,12.6690104875,12.757912402083331
b3i6,12.757912402083331,13.023300410416669
b3i7,13.023300410416669,13.105219761458336
b3i8,13.105219761458336,13.268591914583334
b3i9,13.268591914583334,13.350072266666668
b3i10,13.350072266666668,13.430961025000002
b3i11,13.430961025000002,13.67563708541667
b3i12,13.67563708541667,13.756979770833336
b3i13,13.756979770833336,14.00167449270834
b3i14,14.00167449270834,14.076986375000006
b3i15,14.076986375000006,14.301336609375008
b3i16,14.301336609375008,14.37605149583334
b3i17,14.37605149583334,14.52661708958334
b3i18,14.52661708958334,14.60122596458334
b3i19,14.60122596458334,14.67664472708334
b3i20,14.67664472708334,14.901501543750006
b3i21,14.901501543750006,14.97641737083334
b3i22,14.97641737083334,15.18675812708334
b3i23,15.18675812708334,15.25650139270834
b3i24,15.25650139270834,15.464717727083343
b3i25,15.464717727083343,15.534179570833343
b3i26,15.534179570833343,15.67319742708334
b3i27,15.67319742708334,15.742752613541674
b3i28,15.742752613541674,15.811972550000007
b3i29,15.811972550000007,16.018734618750006
b3i30,16.018734618750006,16.084403880208338
b3i31,16.084403880208338,16.279550011458337
b3i32,16.279550011458337,16.345096198958338
b3i33,16.345096198958338,16.539953930208338
b3i34,16.539953930208338,16.60540331666667
b3i35,16.60540331666667,16.735449601041676
b3i36,16.735449601041676,16.80005381145834
b4i1,16.80005381145834,16.86306062395834
b4i2,16.86306062395834,17.047110698958342
b4i3,17.047110698958342,17.10829520937501
b4i4,17.10829520937501,17.291398154166682
b4i5,17.291398154166682,17.352624591666682
b4i6,17.352624591666682,17.535866342708353
b4i7,17.535866342708353,17.597148437500017
b4i8,17.597148437500017,17.71999753333335
b4i9,17.71999753333335,17.780576887500015
b4i10,17.780576887500015,17.841919655208347
b4i11,17.841919655208347,18.013778610416686
b4i12,18.013778610416686,18.071301531250025
b4i13,18.071301531250025,18.243586340625026
b4i14,18.243586340625026,18.301248090625023
b4i15,18.301248090625023,18.47397495208336
b4i16,18.47397495208336,18.53083876458336
b4i17,18.53083876458336,18.645873181250025
b4i18,18.645873181250025,18.703096900000027
b4i19,18.703096900000027,18.761064897916697
b4i20,18.761064897916697,18.92733131875004
b4i21,18.92733131875004,18.98177408437504
b4i22,18.98177408437504,19.14403699375004
b4i23,19.14403699375004,19.19869208750004
b4i24,19.19869208750004,19.360718279166708
b4i25,19.360718279166708,19.414692404166708
b4i26,19.414692404166708,19.52303928229171
b4i27,19.52303928229171,19.577409598958376
b4i28,19.577409598958376,19.63161351666671
b4i29,19.63161351666671,19.79414311250005
b4i30,19.79414311250005,19.847709008333386
b4i31,19.847709008333386,20.00308948333338
b4i32,20.00308948333338,20.054293543750045
b4i33,20.054293543750045,20.20962445000004
b4i34,20.20962445000004,20.26110895000004
b4i35,20.26110895000004,20.365351919791703
b4i36,20.365351919791703,20.41725713750004
b5i1,20.41725713750004,20.46732500000004
b5i2,20.46732500000004,20.61585708333337
b5i3,20.61585708333337,20.66538225520837
b5i4,20.66538225520837,20.814824145833374
b5i5,20.814824145833374,20.863819488541708
b5i6,20.863819488541708,21.01252095729172
b5i7,21.01252095729172,21.06183130104172
b5i8,21.06183130104172,21.16170698854172
b5i9,21.16170698854172,21.21063905104172
b5i10,21.21063905104172,21.26026311666672
b5i11,21.26026311666672,21.409190608333382
b5i12,21.409190608333382,21.45751635416672
b5i13,21.45751635416672,21.59936144791672
b5i14,21.59936144791672,21.646411239583387
b5i15,21.646411239583387,21.78767825104172
b5i16,21.78767825104172,21.83428057916672
b5i17,21.83428057916672,21.92872348541672
b5i18,21.92872348541672,21.97577773541672
b5i19,21.97577773541672,22.022722079166723
b5i20,22.022722079166723,22.164457707291724
b5i21,22.164457707291724,22.210968426041724
b5i22,22.210968426041724,22.352180227083387
b5i23,22.352180227083387,22.399805430208385
b5i24,22.399805430208385,22.535926192708388
b5i25,22.535926192708388,22.58084494895839
b5i26,22.58084494895839,22.67038335520839
b5i27,22.67038335520839,22.71576060520839
b5i28,22.71576060520839,22.7602829427084
b5i29,22.7602829427084,22.8947778177084
b5i30,22.8947778177084,22.939666973958406
b5i31,22.939666973958406,23.07450492500007
b5i32,23.07450492500007,23.11901455000007
b5i33,23.11901455000007,23.25346221562507
b5i34,23.25346221562507,23.29833889687508
b5i35,23.29833889687508,23.38781316770841
b5i36,23.38781316770841,23.43314304687508
b6i1,23.43314304687508,23.47619339062508
b6i2,23.47619339062508,23.604815702083407
b6i3,23.604815702083407,23.64751666979174
b6i4,23.64751666979174,23.775834552083413
b6i5,23.775834552083413,23.81891683333341
b6i6,23.81891683333341,23.946940242708408
b6i7,23.946940242708408,23.989686617708408
b6i8,23.989686617708408,24.0749313364584
b6i9,24.0749313364584,24.1181389708334
b6i10,24.1181389708334,24.1605571895834
