interval,start,end
b1i1,0.0,0.046875
b1i2,0.046875,0.328125
b1i3,0.328125,0.421875
b1i4,0.421875,0.703125
b1i5,0.703125,0.796875
b1i6,0.796875,1.078125
b1i7,1.078125,1.171875
b1i8,1.171875,1.359375
b1i9,1.359375,1.453125
b1i10,1.453125,1.546875
b1i11,1.546875,1.828125
b1i12,1.828125,1.921875
b1i13,1.921875,2.203125
b1i14,2.203125,2.296875
b1i15,2.296875,2.578125
b1i16,2.578125,2.671875
b1i17,2.671875,2.859375
b1i18,2.859375,2.953125
b1i19,2.953125,3.046875
b1i20,3.046875,3.328125
b1i21,3.328125,3.421875
b1i22,3.421875,3.703125
b1i23,3.703125,3.796875
b1i24,3.796875,4.078125
b1i25,4.078125,4.171875
b1i26,4.171875,4.359375
b1i27,4.359375,4.453125
b1i28,4.453125,4.546875
b1i29,4.546875,4.828125
b1i30,4.828125,4.921875
b1i31,4.921875,5.203125
b1i32,5.203125,5.296875
b1i33,5.296875,5.578125
b1i34,5.578125,5.671875
b1i35,5.671875,5.859375
b1i36,5.859375,5.953125
b2i1,5.953125,6.046875
b2i2,6.046875,6.328125
b2i3,6.328125,6.421875
b2i4,6.421875,6.703125
b2i5,6.703125,6.796875
b2i6,6.796875,7.078125
b2i7,7.078125,7.171875
b2i8,7.171875,7.359375
b2i9,7.359375,7.453125
b2i10,7.453125,7.546875
b2i11,7.546875,7.828125
b2i12,7.828125,7.921875
b2i13,7.921875,8.203125
b2i14,8.203125,8.296875
b2i15,8.296875,8.578125
b2i16,8.578125,8.671875
b2i17,8.671875,8.859375
b2i18,8.859375,8.953125
b2i19,8.953125,9.046875
b2i20,9.046875,9.328125
b2i21,9.328125,9.421875
b2i22,9.421875,9.703125
b2i23,9.703125,9.796875
b2i24,9.796875,10.078125
b2i25,10.078125,10.171875
b2i26,10.171875,10.359375
b2i27,10.359375,10.453125
b2i28,10.453125,10.546875
b2i29,10.546875,10.828125
b2i30,10.828125,10.921875
b2i31,10.921875,11.203125
b2i32,11.203125,11.296875
b2i33,11.296875,11.578125
b2i34,11.578125,11.671875
b2i35,11.671875,11.859375
b2i36,11.859375,11.953125
b3i1,11.953125,12.0450257625
b3i2,12.0450257625,12.3165885375
b3i3,12.3165885375,12.408030725
b3i4,12.408030725,12.679071631249998
b3i5,12.679071631249998,12.769858639583331
b3i6,12.769858639583331,13.039089448958334
b3i7,13.039089448958334,13.124909958333337
b3i8,13.124909958333337,13.293713423958335
b3i9,13.293713423958335,13.379573611458335
b3i10,13.379573611458335,13.464979580208338
b3i11,13.464979580208338,13.719915646875002
b3i12,13.719915646875002,13.804947395833334
b3i13,13.804947395833334,14.056133612500002
b3i14,14.056133612500002,14.13538895104167
b3i15,14.13538895104167,14.37627078854167
b3i16,14.37627078854167,14.456697257291667
b3i17,14.456697257291667,14.61642266354167
b3i18,14.61642266354167,14.69573210104167
b3i19,14.69573210104167,14.776004550000003
b3i20,14.776004550000003,15.01594840833334
b3i21,15.01594840833334,15.09091648958334
b3i22,15.09091648958334,15.317712037500003
b3i23,15.317712037500003,15.393939443750003
b3i24,15.393939443750003,15.620708037500004
b3i25,15.620708037500004,15.695675443750003
b3i26,15.695675443750003,15.847184679166674
b3i27,15.847184679166674,15.922479584375008
b3i28,15.922479584375008,15.998706388541676
b3i29,15.998706388541676,16.21339503854168
b3i30,16.21339503854168,16.28601916354168
b3i31,16.28601916354168,16.50102894791668
b3i32,16.50102894791668,16.572560947916678
b3i33,16.572560947916678,16.78675228020834
b3i34,16.78675228020834,16.85841905000001
b3i35,16.85841905000001,17.002137182291676
b3i36,17.002137182291676,17.071869744791677
b4i1,17.071869744791677,17.14020359687501
b4i2,17.14020359687501,17.34376038958335
b4i3,17.34376038958335,17.411151550000017
b4i4,17.411151550000017,17.615345987500017
b4i5,17.615345987500017,17.682955518750017
b4i6,17.682955518750017,17.885561068750008
b4i7,17.885561068750008,17.953402525000005
b4i8,17.953402525000005,18.08952668020834
b4i9,18.08952668020834,18.15450946458334
b4i10,18.15450946458334,18.21928381145834
b4i11,18.21928381145834,18.41239551458333
b4i12,18.41239551458333,18.477452920833336
b4i13,18.477452920833336,18.67143151458333
b4i14,18.67143151458333,18.73570038958333
b4i15,18.73570038958333,18.92948545833333
b4i16,18.92948545833333,18.994049097916665
b4i17,18.994049097916665,19.12261928333333
b4i18,19.12261928333333,19.18347523958333
b4i19,19.18347523958333,19.24520607395833
b4i20,19.24520607395833,19.430374745833326
b4i21,19.430374745833326,19.492439527083327
b4i22,19.492439527083327,19.677596620833327
b4i23,19.677596620833327,19.73897562083333
b4i24,19.73897562083333,19.924143937499995
b4i25,19.924143937499995,19.98586857916666
b4i26,19.98586857916666,20.108825540624995
b4i27,20.108825540624995,20.16805275208333
b4i28,20.16805275208333,20.227121869791667
b4i29,20.227121869791667,20.40340915625
b4i30,20.40340915625,20.462859625
b4i31,20.462859625,20.64029875
b4i32,20.64029875,20.69914565625
b4i33,20.69914565625,20.875774894791665
b4i34,20.875774894791665,20.93500488958333
b4i35,20.93500488958333,21.05302967395833
b4i36,21.05302967395833,21.111826557291668
b5i1,21.111826557291668,21.16856031041667
b5i2,21.16856031041667,21.33889129166667
b5i3,21.33889129166667,21.39507758229168
b5i4,21.39507758229168,21.564739751041667
b5i5,21.564739751041667,21.621344126041667
b5i6,21.621344126041667,21.79036928229166
b5i7,21.79036928229166,21.84645196979166
b5i8,21.84645196979166,21.960094126041657
b5i9,21.960094126041657,22.016722777083324
b5i10,22.016722777083324,22.07322209999999
b5i11,22.07322209999999,22.238285758333323
b5i12,22.238285758333323,22.292450957291656
b5i13,22.292450957291656,22.45514017604166
b5i14,22.45514017604166,22.50974030104166
b5i15,22.50974030104166,22.672833144791667
b5i16,22.672833144791667,22.726964613541668
b5i17,22.726964613541668,22.834882051041664
b5i18,22.834882051041664,22.88956594583333
b5i19,22.88956594583333,22.944133332291663
b5i20,22.944133332291663,23.1062668
b5i21,23.1062668,23.16038506875
b5i22,23.16038506875,23.316764786458336
b5i23,23.316764786458336,23.36867783541668
b5i24,23.36867783541668,23.525544023958336
b5i25,23.525544023958336,23.577914742708334
b5i26,23.577914742708334,23.68234324270834
b5i27,23.68234324270834,23.73440224270833
b5i28,23.73440224270833,23.786358961458337
b5i29,23.786358961458337,23.94334419895834
b5i30,23.94334419895834,23.99489660520834
b5i31,23.99489660520834,24.15152718854167
b5i32,24.15152718854167,24.20183356770833
b5i33,24.20183356770833,24.35472331770833
b5i34,24.35472331770833,24.40549463020833
b5i35,24.40549463020833,24.506752005208337
b5i36,24.506752005208337,24.55808058229167
b6i1,24.55808058229167,24.607636053125
b6i2,24.607636053125,24.756587102083337
b6i3,24.756587102083337,24.80577953541667
b6i4,24.80577953541667,24.95447659375001
b6i5,24.95447659375001,25.00414009375001
b6i6,25.00414009375001,25.15259753125001
b6i7,25.15259753125001,25.201907531250008
b6i8,25.201907531250008,25.30108364895834
b6i9,25.30108364895834,25.350133211458346
b6i10,25.350133211458346,25.39991181979168
b6i11,25.39991181979168,25.54791933854168
