interval,start,end
b1i1,0.0,0.046875
b1i2,0.046875,0.328125
b1i3,0.328125,0.421875
b1i4,0.421875,0.703125
b1i5,0.703125,0.796875
b1i6,0.796875,1.078125
b1i7,1.078125,1.171875
b1i8,1.171875,1.359375
b1i9,1.359375,1.453125
b1i10,1.453125,1.546875
b1i11,1.546875,1.828125
b1i12,1.828125,1.921875
b1i13,1.921875,2.203125
b1i14,2.203125,2.296875
b1i15,2.296875,2.578125
b1i16,2.578125,2.671875
b1i17,2.671875,2.859375
b1i18,2.859375,2.953125
b1i19,2.953125,3.046875
b1i20,3.046875,3.328125
b1i21,3.328125,3.421875
b1i22,3.421875,3.703125
b1i23,3.703125,3.796875
b1i24,3.796875,4.078125
b1i25,4.078125,4.171875
b1i26,4.171875,4.359375
b1i27,4.359375,4.453125
b1i28,4.453125,4.546875
b1i29,4.546875,4.828125
b1i30,4.828125,4.921875
b1i31,4.921875,5.203125
b1i32,5.203125,5.296875
b1i33,5.296875,5.578125
b1i34,5.578125,5.671875
b1i35,5.671875,5.859375
b1i36,5.859375,5.953125
b2i1,5.953125,6.046875
b2i2,6.046875,6.328125
b2i3,6.328125,6.421875
b2i4,6.421875,6.703125
b2i5,6.703125,6.796875
b2i6,6.796875,7.078125
b2i7,7.078125,7.171875
b2i8,7.171875,7.359375
b2i9,7.359375,7.453125
b2i10,7.453125,7.546875
b2i11,7.546875,7.828125
b2i12,7.828125,7.921875
b2i13,7.921875,8.203125
b2i14,8.203125,8.296875
b2i15,8.296875,8.578125
b2i16,8.578125,8.671875
b2i17,8.671875,8.859375
b2i18,8.859375,8.953125
b2i19,8.953125,9.046875
b2i20,9.046875,9.328125
b2i21,9.328125,9.421875
b2i22,9.421875,9.703125
b2i23,9.703125,9.796875
b2i24,9.796875,10.078125
b2i25,10.078125,10.171875
b2i26,10.171875,10.359375
b2i27,10.359375,10.453125
b2i28,10.453125,10.546875
b2i29,10.546875,10.828125
b2i30,10.828125,10.921875
b2i31,10.921875,11.203125
b2i32,11.203125,11.296875
b2i33,11.296875,11.578125
b2i34,11.578125,11.671875
b2i35,11.671875,11.859375
b2i36,11.859375,11.953125
b3i1,11.953125,12.04678096875
b3i2,12.04678096875,12.323794581249995
b3i3,12.323794581249995,12.416799018749996
b3i4,12.416799018749996,12.696253571874998
b3i5,12.696253571874998,12.788529196874997
b3i6,12.788529196874997,13.06581690416666
b3i7,13.06581690416666,13.15585162916666
b3i8,13.15585162916666,13.336936014583326
b3i9,13.336936014583326,13.427976014583326
b3i10,13.427976014583326,13.518844045833326
b3i11,13.518844045833326,13.791928167708328
b3i12,13.791928167708328,13.882116136458327
b3i13,13.882116136458327,14.151682553124994
b3i14,14.151682553124994,14.241205490624994
b3i15,14.241205490624994,14.50730380729166
b3i16,14.50730380729166,14.59617621354166
b3i17,14.59617621354166,14.774918739583327
b3i18,14.774918739583327,14.863312052083328
b3i19,14.863312052083328,14.953015901041658
b3i20,14.953015901041658,15.215315989583322
b3i21,15.215315989583322,15.302928802083322
b3i22,15.302928802083322,15.563389719791656
b3i23,15.563389719791656,15.650392469791653
b3i24,15.650392469791653,15.911947406249984
b3i25,15.911947406249984,15.999795239583316
b3i26,15.999795239583316,16.170726146874987
b3i27,16.170726146874987,16.25669089687499
b3i28,16.25669089687499,16.341082885416657
b3i29,16.341082885416657,16.59767794791666
b3i30,16.59767794791666,16.684342697916662
b3i31,16.684342697916662,16.940647856249996
b3i32,16.940647856249996,17.025331918749995
b3i33,17.025331918749995,17.27714402499999
b3i34,17.27714402499999,17.36127680624999
b3i35,17.36127680624999,17.53052970833332
b3i36,17.53052970833332,17.614255708333317
b4i1,17.614255708333317,17.697847864583316
b4i2,17.697847864583316,17.946434048958313
b4i3,17.946434048958313,18.028109309374976
b4i4,18.028109309374976,18.27651052812498
b4i5,18.27651052812498,18.36042550833331
b4i6,18.36042550833331,18.60864941979164
b4i7,18.60864941979164,18.69068010729164
b4i8,18.69068010729164,18.852998099999976
b4i9,18.852998099999976,18.934651662499977
b4i10,18.934651662499977,19.01482011354165
b4i11,19.01482011354165,19.25866630104165
b4i12,19.25866630104165,19.34105194895832
b4i13,19.34105194895832,19.58477925520832
b4i14,19.58477925520832,19.665332848958315
b4i15,19.665332848958315,19.904937566666646
b4i16,19.904937566666646,19.98368357083332
b4i17,19.98368357083332,20.14348891458331
b4i18,20.14348891458331,20.223216602083305
b4i19,20.223216602083305,20.302828664583306
b4i20,20.302828664583306,20.5422990427083
b4i21,20.5422990427083,20.622773693749966
b4i22,20.622773693749966,20.858237924999965
b4i23,20.858237924999965,20.936940706249967
b4i24,20.936940706249967,21.171071792708304
b4i25,21.171071792708304,21.249331511458305
b4i26,21.249331511458305,21.40682482187497
b4i27,21.40682482187497,21.484756821874967
b4i28,21.484756821874967,21.562580821874967
b4i29,21.562580821874967,21.795411017708307
b4i30,21.795411017708307,21.87280651770831
b4i31,21.87280651770831,22.10306998854164
b4i32,22.10306998854164,22.18004395729164
b4i33,22.18004395729164,22.411619003124976
b4i34,22.411619003124976,22.48817828437497
b4i35,22.48817828437497,22.64226343333331
b4i36,22.64226343333331,22.71851587083331
b5i1,22.71851587083331,22.79466708958332
b5i2,22.79466708958332,23.021248464583312
b5i3,23.021248464583312,23.09573725624998
b5i4,23.09573725624998,23.32239081874998
b5i5,23.32239081874998,23.39774513124998
b5i6,23.39774513124998,23.62447630833332
b5i7,23.62447630833332,23.70068924270832
b5i8,23.70068924270832,23.84908593958332
b5i9,23.84908593958332,23.923762877083323
b5i10,23.923762877083323,23.998344752083323
b5i11,23.998344752083323,24.22028071145832
b5i12,24.22028071145832,24.29448521145832
b5i13,24.29448521145832,24.51777110729165
b5i14,24.51777110729165,24.591603857291656
b5i15,24.591603857291656,24.813779771874987
b5i16,24.813779771874987,24.88602037708332
b5i17,24.88602037708332,25.03268156458332
b5i18,25.03268156458332,25.10465695520832
b5i19,25.10465695520832,25.17776270520831
b5i20,25.17776270520831,25.39654464270832
b5i21,25.39654464270832,25.47050586249998
b5i22,25.47050586249998,25.68943700624998
b5i23,25.68943700624998,25.761836787499984
b5i24,25.761836787499984,25.97731098020832
b5i25,25.97731098020832,26.04936538645832
b5i26,26.04936538645832,26.192018158333312
b5i27,26.192018158333312,26.263816595833312
b5i28,26.263816595833312,26.335530502083312
b5i29,26.335530502083312,26.55136073124997
b5i30,26.55136073124997,26.62273894999997
b5i31,26.62273894999997,26.83756357291664
b5i32,26.83756357291664,26.90742801041664
b5i33,26.90742801041664,27.12007813541664
b5i34,27.12007813541664,27.19079882291664
b5i35,27.19079882291664,27.333172216666632
b5i36,27.333172216666632,27.403650841666632
b6i1,27.403650841666632,27.47404949791663
b6i2,27.47404949791663,27.68359536354163
b6i3,27.68359536354163,27.75367636354164
b6i4,27.75367636354164,27.9622810052083
b6i5,27.9622810052083,28.032048630208298
b6i6,28.032048630208298,28.242047627083306
b6i7,28.242047627083306,28.311506002083306
b6i8,28.311506002083306,28.4513492052083
b6i9,28.4513492052083,28.51942438854164
b6i10,28.51942438854164,28.58857760729164
