interval,start,end
b1i1,0.0,0.046875
b1i2,0.046875,0.328125
b1i3,0.328125,0.421875
b1i4,0.421875,0.703125
b1i5,0.703125,0.796875
b1i6,0.796875,1.078125
b1i7,1.078125,1.171875
b1i8,1.171875,1.453125
b1i9,1.453125,1.546875
b1i10,1.546875,1.828125
b1i11,1.828125,1.921875
b1i12,1.921875,2.203125
b1i13,2.203125,2.296875
b1i14,2.296875,2.578125
b1i15,2.578125,2.671875
b1i16,2.671875,2.953125
b1i17,2.953125,3.046875
b1i18,3.046875,3.328125
b1i19,3.328125,3.421875
b1i20,3.421875,3.703125
b1i21,3.703125,3.796875
b1i22,3.796875,4.078125
b1i23,4.078125,4.171875
b1i24,4.171875,4.453125
b1i25,4.453125,4.546875
b1i26,4.546875,4.828125
b1i27,4.828125,4.921875
b1i28,4.921875,5.203125
b1i29,5.203125,5.296875
b1i30,5.296875,5.578125
b1i31,5.578125,5.671875
b1i32,5.671875,5.953125
b2i1,5.953125,6.046875
b2i2,6.046875,6.328125
b2i3,6.328125,6.421875
b2i4,6.421875,6.703125
b2i5,6.703125,6.796875
b2i6,6.796875,7.078125
b2i7,7.078125,7.171875
b2i8,7.171875,7.453125
b2i9,7.453125,7.546875
b2i10,7.546875,7.828125
b2i11,7.828125,7.921875
b2i12,7.921875,8.203125
b2i13,8.203125,8.296875
b2i14,8.296875,8.578125
b2i15,8.578125,8.671875
b2i16,8.671875,8.953125
b2i17,8.953125,9.046875
b2i18,9.046875,9.328125
b2i19,9.328125,9.421875
b2i20,9.421875,9.703125
b2i21,9.703125,9.796875
b2i22,9.796875,10.078125
b2i23,10.078125,10.171875
b2i24,10.171875,10.453125
b2i25,10.453125,10.546875
b2i26,10.546875,10.828125
b2i27,10.828125,10.921875
b2i28,10.921875,11.203125
b2i29,11.203125,11.296875
b2i30,11.296875,11.578125
b2i31,11.578125,11.671875
b2i32,11.671875,11.953125
b3i1,11.953125,12.043205720833331
b3i2,12.043205720833331,12.306934268749998
b3i3,12.306934268749998,12.394756074999998
b3i4,12.394756074999998,12.656704860416664
b3i5,12.656704860416664,12.745008295833332
b3i6,12.745008295833332,13.007234938541664
b3i7,13.007234938541664,13.08516525
b3i8,13.08516525,13.318554410416665
b3i9,13.318554410416665,13.396240622916665
b3i10,13.396240622916665,13.629079312499998
b3i11,13.629079312499998,13.706637344791664
b3i12,13.706637344791664,13.94049974583333
b3i13,13.94049974583333,14.015581962499995
b3i14,14.015581962499995,14.225190370833332
b3i15,14.225190370833332,14.295614984374998
b3i16,14.295614984374998,14.504961711458332
b3i17,14.504961711458332,14.574529398958331
b3i18,14.574529398958331,14.784934357291664
b3i19,14.784934357291664,14.854882143749997
b3i20,14.854882143749997,15.057563351041662
b3i21,15.057563351041662,15.121323929166662
b3i22,15.121323929166662,15.312405845833329
b3i23,15.312405845833329,15.37568043333333
b3i24,15.37568043333333,15.56539491354166
b3i25,15.56539491354166,15.629308365624992
b3i26,15.629308365624992,15.819892767708328
b3i27,15.819892767708328,15.883407020833328
b3i28,15.883407020833328,16.067861976041662
b3i29,16.067861976041662,16.12702451458333
b3i30,16.12702451458333,16.304650201041664
b3i31,16.304650201041664,16.364561737499997
b3i32,16.364561737499997,16.54155323020833
b4i1,16.54155323020833,16.599053792708332
b4i2,16.599053792708332,16.765016533333334
b4i3,16.765016533333334,16.820759320833332
b4i4,16.820759320833332,16.98645773229167
b4i5,16.98645773229167,17.04212060729167
b4i6,17.04212060729167,17.208542652083338
b4i7,17.208542652083338,17.264137971875
b4i8,17.264137971875,17.430402147916666
b4i9,17.430402147916666,17.485956440625
b4i10,17.485956440625,17.64592859375
b4i11,17.64592859375,17.697047981249998
b4i12,17.697047981249998,17.850924689583326
b4i13,17.850924689583326,17.902104545833325
b4i14,17.902104545833325,18.05615877708333
b4i15,18.05615877708333,18.107403027083325
b4i16,18.107403027083325,18.26167238854165
b4i17,18.26167238854165,18.31299102291665
b4i18,18.31299102291665,18.46666494791665
b4i19,18.46666494791665,18.518072990624987
b4i20,18.518072990624987,18.664626395833324
b4i21,18.664626395833324,18.712855948958325
b4i22,18.712855948958325,18.85574118229166
b4i23,18.85574118229166,18.903316389583324
b4i24,18.903316389583324,19.046672940624987
b4i25,19.046672940624987,19.094407409374984
b4i26,19.094407409374984,19.23746072499998
b4i27,19.23746072499998,19.28536375937498
b4i28,19.28536375937498,19.428928321874977
b4i29,19.428928321874977,19.47622074374998
b4i30,19.47622074374998,19.61799761979165
b4i31,19.61799761979165,19.663175353124984
b4i32,19.663175353124984,19.800934694791657
b5i1,19.800934694791657,19.845573284375
b5i2,19.845573284375,19.977182090625
b5i3,19.977182090625,20.021296023958328
b5i4,20.021296023958328,20.152867063541663
b5i5,20.152867063541663,20.197211376041665
b5i6,20.197211376041665,20.328754351041667
b5i7,20.328754351041667,20.372600882291664
b5i8,20.372600882291664,20.504865969791663
b5i9,20.504865969791663,20.548231157291664
b5i10,20.548231157291664,20.680497640625
b5i11,20.680497640625,20.724110063541666
b5i12,20.724110063541666,20.854265301041668
b5i13,20.854265301041668,20.89529857916667
b5i14,20.89529857916667,21.01916710416668
b5i15,21.01916710416668,21.06047971458334
b5i16,21.06047971458334,21.184478686458338
b5i17,21.184478686458338,21.226065748958337
b5i18,21.226065748958337,21.349513902083338
b5i19,21.349513902083338,21.39068955833334
b5i20,21.39068955833334,21.51497878020833
b5i21,21.51497878020833,21.55575503020834
b5i22,21.55575503020834,21.680203046875004
b5i23,21.680203046875004,21.721262840625
b5i24,21.721262840625,21.84386936041668
b5i25,21.84386936041668,21.88321515208334
b5i26,21.88321515208334,22.00136691666668
b5i27,22.00136691666668,22.04101122916668
b5i28,22.04101122916668,22.15874606041668
b5i29,22.15874606041668,22.19803352916668
b5i30,22.19803352916668,22.31602463437501
b5i31,22.31602463437501,22.35561226979168
b5i32,22.35561226979168,22.47321403437501
b6i1,22.47321403437501,22.51181856770835
b6i2,22.51181856770835,22.62456370937501
b6i3,22.62456370937501,22.66219654791668
b6i4,22.66219654791668,22.774620722916683
b6i5,22.774620722916683,22.812571410416684
b6i6,22.812571410416684,22.924690736458352
b6i7,22.924690736458352,22.96232804895835
b6i8,22.96232804895835,23.07477854895836
b6i9,23.07477854895836,23.11273353125002
b6i10,23.11273353125002,23.22489619687501
b6i11,23.22489619687501,23.26254773750001
b6i12,23.26254773750001,23.375052871875013
b6i13,23.375052871875013,23.413019314583348
b6i14,23.413019314583348,23.524037420833352
b6i15,23.524037420833352,23.55927927812502
b6i16,23.55927927812502,23.666414007291685
b6i17,23.666414007291685,23.70198887812501
b6i18,23.70198887812501,23.808914405208355
b6i19,23.808914405208355,23.84422198854169
b6i20,23.84422198854169,23.950945156250025
b6i21,23.950945156250025,23.986586500000023
b6i22,23.986586500000023,24.09370923020836
b6i23,24.09370923020836,24.12909063645836
b6i24,24.12909063645836,24.23602634791669
b6i25,24.23602634791669,24.27115337916669
b6i26,24.27115337916669,24.378492462500024
b6i27,24.378492462500024,24.41395076770836
b6i28,24.41395076770836,24.519956153125023
