interval,start,end
b6i29,25.11211157708336,25.14902804583336
b6i30,25.14902804583336,25.25940198333336
b6i31,25.25940198333336,25.29606942083336
b6i32,25.29606942083336,25.406922018750024
b7i1,25.406922018750024,25.442739375000023
b7i2,25.442739375000023,25.549834866666693
b7i3,25.549834866666693,25.585414996875027
b7i4,25.585414996875027,25.69241172395836
b7i5,25.69241172395836,25.72776118958336
b7i6,25.72776118958336,25.83466499791669
b7i7,25.83466499791669,25.870384529166685
b7i8,25.870384529166685,25.97720290416669
b7i9,25.97720290416669,26.01269671666669
b7i10,26.01269671666669,26.11943319062502
b7i11,26.11943319062502,26.155292492708355
b7i12,26.155292492708355,26.261953971875023
b7i13,26.261953971875023,26.29759222916669
b7i14,26.29759222916669,26.404181882291688
b7i15,26.404181882291688,26.43902514479169
b7i16,26.43902514479169,26.54149795520836
b7i17,26.54149795520836,26.575553559375017
b7i18,26.575553559375017,26.677988294791685
b7i19,26.677988294791685,26.71184150104169
b7i20,26.71184150104169,26.81424395520835
b7i21,26.81424395520835,26.84846786145836
b7i22,26.84846786145836,26.950840236458355
b7i23,26.950840236458355,26.98486545520836
b7i24,26.98486545520836,27.087211562500023
b7i25,27.087211562500023,27.121041500000025
b7i26,27.121041500000025,27.22336663958336
b7i27,27.22336663958336,27.257564480208355
b7i28,27.257564480208355,27.359870606250027
b7i29,27.359870606250027,27.39387659583336
b7i30,27.39387659583336,27.49450167916669
b7i31,27.49450167916669,27.52776539791669
b7i32,27.52776539791669,27.627281585416693
b8i1,27.627281585416693,27.65976692395836
b8i2,27.65976692395836,27.757091306250032
b8i3,27.757091306250032,27.78944534375003
b8i4,27.78944534375003,27.886790484375027
b8i5,27.886790484375027,27.918970797916696
b8i6,27.918970797916696,28.01634080937504
b8i7,28.01634080937504,28.04889199687504
b8i8,28.04889199687504,28.14628784062504
b8i9,28.14628784062504,28.17866790312504
b8i10,28.17866790312504,28.27555449687504
b8i11,28.27555449687504,28.30830231770837
b8i12,28.30830231770837,28.40522231875004
b8i13,28.40522231875004,28.437802913541702
b8i14,28.437802913541702,28.534760001041704
b8i15,28.534760001041704,28.56717458333337
b8i16,28.56717458333337,28.66364142083337
b8i17,28.66364142083337,28.69483510937504
b8i18,28.69483510937504,28.788180314583368
b8i19,28.788180314583368,28.81974362708337
b8i20,28.81974362708337,28.913147827083368
b8i21,28.913147827083368,28.94403097708337
b8i22,28.94403097708337,29.03749835625004
b8i23,29.03749835625004,29.06875182500004
b8i24,29.06875182500004,29.162284137500045
b8i25,29.162284137500045,29.193386106250045
b8i26,29.193386106250045,29.28646720000005
b8i27,29.28646720000005,29.31793631979172
b8i28,29.31793631979172,29.411086602083383
b8i29,29.411086602083383,29.44240604062505
b8i30,29.44240604062505,29.53562824166672
b8i31,29.53562824166672,29.56680012812505
b8i32,29.56680012812505,29.66009555416672
b9i1,29.66009555416672,29.690104683333377
b9i2,29.690104683333377,29.77992198541671
b9i3,29.77992198541671,29.81029801666671
b9i4,29.81029801666671,29.899700782291703
b9i5,29.899700782291703,29.929937657291703
b9i6,29.929937657291703,30.019436057291703
b9i7,30.019436057291703,30.049535651041705
b9i8,30.049535651041705,30.139630526041703
b9i9,30.139630526041703,30.169594651041702
b9i10,30.169594651041702,30.2592859322917
b9i11,30.2592859322917,30.2891164322917
b9i12,30.2891164322917,30.37890617916669
b9i13,30.37890617916669,30.409099298958363
b9i14,30.409099298958363,30.49898729791669
b9i15,30.49898729791669,30.52855586041669
b9i16,30.52855586041669,30.61854407187503
b9i17,30.61854407187503,30.648474365625027
b9i18,30.648474365625027,30.73611497187503
b9i19,30.73611497187503,30.76494031562503
b9i20,30.76494031562503,30.851717077083364
b9i21,30.851717077083364,30.88090532708336
b9i22,30.88090532708336,30.96731329479169
b9i23,30.96731329479169,30.99637798229169
b9i24,30.99637798229169,31.083388482291696
b9i25,31.083388482291696,31.11233116979169
b9i26,31.11233116979169,31.19897801354169
b9i27,31.19897801354169,31.22780026354169
b9i28,31.22780026354169,31.3145678229167
b9i29,31.3145678229167,31.34374896770837
b9i30,31.34374896770837,31.430158820833373
b9i31,31.430158820833373,31.45922148645837
b9i32,31.45922148645837,31.546229972916706
b10i1,31.546229972916706,31.57422561562504
b10i2,31.57422561562504,31.658515012500043
b10i3,31.658515012500043,31.68639695416672
b10i4,31.68639695416672,31.77034815104172
b10i5,31.77034815104172,31.798118643750048
b10i6,31.798118643750048,31.882205012500044
b10i7,31.882205012500044,31.909866366666712
b10i8,31.909866366666712,31.99408902291671
b10i9,31.99408902291671,32.02210808541671
b10i10,32.02210808541671,32.106000835416715
b10i11,32.106000835416715,32.133910585416714
b10i12,32.133910585416714,32.21794108229171
b10i13,32.21794108229171,32.24574276979171
b10i14,32.24574276979171,32.329449964583375
b10i15,32.329449964583375,32.35760683125004
b10i16,32.35760683125004,32.44145394687504
b10i17,32.44145394687504,32.46950258020837
b10i18,32.46950258020837,32.55348970937504
b10i19,32.55348970937504,32.58051690520837
b10i20,32.58051690520837,32.66190165729169
b10i21,32.66190165729169,32.689283251041694
b10i22,32.689283251041694,32.77081863125004
b10i23,32.77081863125004,32.79764311145836
b10i24,32.79764311145836,32.87932992395838
b10i25,32.87932992395838,32.90650851770838
b10i26,32.90650851770838,32.98789327916672
b10i27,32.98789327916672,33.01497202916672
b10i28,33.01497202916672,33.096059779166715
b10i29,33.096059779166715,33.12348988645838
b10i30,33.12348988645838,33.204731517708375
b10i31,33.204731517708375,33.23206149583337
b10i32,33.23206149583337,33.31345767812504
b11i1,33.31345767812504,33.340243365625035
b11i2,33.340243365625035,33.42060042812502
b11i3,33.42060042812502,33.447386115625015
b11i4,33.447386115625015,33.527743178125
b11i5,33.527743178125,33.554528865624995
b11i6,33.554528865624995,33.63488592812498
b11i7,33.63488592812498,33.661671615624975
b11i8,33.661671615624975,33.74202867812496
b11i9,33.74202867812496,33.768814365624955
b11i10,33.768814365624955,33.84917142812494
b11i11,33.84917142812494,33.875957115624935
b11i12,33.875957115624935,33.95631417812492
b11i13,33.95631417812492,33.983099865624915
b11i14,33.983099865624915,34.0634569281249
b11i15,34.0634569281249,34.090242615624895
b11i16,34.090242615624895,34.17059967812488
b11i17,34.17059967812488,34.197385365624875
b11i18,34.197385365624875,34.27774242812486
b11i19,34.27774242812486,34.304528115624855
b11i20,34.304528115624855,34.38488517812484
b11i21,34.38488517812484,34.411670865624835
b11i22,34.411670865624835,34.49202792812482
b11i23,34.49202792812482,34.518813615624815
b11i24,34.518813615624815,34.5991706781248
b11i25,34.5991706781248,34.625956365624795
b11i26,34.625956365624795,34.70631342812478
b11i27,34.70631342812478,34.733099115624775
b11i28,34.733099115624775,34.81345617812476
b11i29,34.81345617812476,34.840241865624755
b11i30,34.840241865624755,34.92059892812474
b11i31,34.92059892812474,34.947384615624735
b11i32,34.947384615624735,35.02774167812472
b12i1,35.02774167812472,35.054527365624715
b12i2,35.054527365624715,35.1348844281247
b12i3,35.1348844281247,35.161670115624695
b12i4,35.161670115624695,35.24202717812468
b12i5,35.24202717812468,35.268812865624675
b12i6,35.268812865624675,35.34916992812466
b12i7,35.34916992812466,35.375955615624655
b12i8,35.375955615624655,35.45631267812464
b12i9,35.45631267812464,35.483098365624635
b12i10,35.483098365624635,35.56345542812462
b12i11,35.56345542812462,35.590241115624615
b12i12,35.590241115624615,35.6705981781246
b12i13,35.6705981781246,35.697383865624595
b12i14,35.697383865624595,35.77774092812458
b12i15,35.77774092812458,35.804526615624575
b12i16,35.804526615624575,35.88488367812456
b12i17,35.88488367812456,35.911669365624554
b12i18,35.911669365624554,35.99202642812454
b12i19,35.99202642812454,36.018812115624534
b12i20,36.018812115624534,36.09916917812452
b12i21,36.09916917812452,36.125954865624514
b12i22,36.125954865624514,36.2063119281245
b12i23,36.2063119281245,36.233097615624494
b12i24,36.233097615624494,36.31345467812448
b12i25,36.31345467812448,36.34024036562448
b12i26,36.34024036562448,36.42059742812446
b12i27,36.42059742812446,36.44738311562445
b12i28,36.44738311562445,36.52774017812444
b12i29,36.52774017812444,36.554525865624434
b12i30,36.554525865624434,36.63488292812442
b12i31,36.63488292812442,36.661668615624414
b12i32,36.661668615624414,36.7420256781244
b13i1,36.7420256781244,36.7688113656244
b13i2,36.7688113656244,36.84916842812438
b13i3,36.84916842812438,36.87595411562437
b13i4,36.87595411562437,36.95631117812436
b13i5,36.95631117812436,36.983096865624354
b13i6,36.983096865624354,37.06345392812434
b13i7,37.06345392812434,37.090239615624334
b13i8,37.090239615624334,37.17059667812432
b13i9,37.17059667812432,37.19738236562432
