interval,start,end
b1i1,0.0,0.046875
b1i2,0.046875,0.328125
b1i3,0.328125,0.421875
b1i4,0.421875,0.703125
b1i5,0.703125,0.796875
b1i6,0.796875,1.078125
b1i7,1.078125,1.171875
b1i8,1.171875,1.453125
b1i9,1.453125,1.546875
b1i10,1.546875,1.828125
b1i11,1.828125,1.921875
b1i12,1.921875,2.203125
b1i13,2.203125,2.296875
b1i14,2.296875,2.578125
b1i15,2.578125,2.671875
b1i16,2.671875,2.953125
b1i17,2.953125,3.046875
b1i18,3.046875,3.328125
b1i19,3.328125,3.421875
b1i20,3.421875,3.703125
b1i21,3.703125,3.796875
b1i22,3.796875,4.078125
b1i23,4.078125,4.171875
b1i24,4.171875,4.453125
b1i25,4.453125,4.546875
b1i26,4.546875,4.828125
b1i27,4.828125,4.921875
b1i28,4.921875,5.203125
b1i29,5.203125,5.296875
b1i30,5.296875,5.578125
b1i31,5.578125,5.671875
b1i32,5.671875,5.953125
b2i1,5.953125,6.046875
b2i2,6.046875,6.328125
b2i3,6.328125,6.421875
b2i4,6.421875,6.703125
b2i5,6.703125,6.796875
b2i6,6.796875,7.078125
b2i7,7.078125,7.171875
b2i8,7.171875,7.453125
b2i9,7.453125,7.546875
b2i10,7.546875,7.828125
b2i11,7.828125,7.921875
b2i12,7.921875,8.203125
b2i13,8.203125,8.296875
b2i14,8.296875,8.578125
b2i15,8.578125,8.671875
b2i16,8.671875,8.953125
b2i17,8.953125,9.046875
b2i18,9.046875,9.328125
b2i19,9.328125,9.421875
b2i20,9.421875,9.703125
b2i21,9.703125,9.796875
b2i22,9.796875,10.078125
b2i23,10.078125,10.171875
b2i24,10.171875,10.453125
b2i25,10.453125,10.546875
b2i26,10.546875,10.828125
b2i27,10.828125,10.921875
b2i28,10.921875,11.203125
b2i29,11.203125,11.296875
b2i30,11.296875,11.578125
b2i31,11.578125,11.671875
b2i32,11.671875,11.953125
b3i1,11.953125,12.04681790625
b3i2,12.04681790625,12.325823965624998
b3i3,12.325823965624998,12.419119809374996
b3i4,12.419119809374996,12.698333090624995
b3i5,12.698333090624995,12.791181028124996
b3i6,12.791181028124996,13.070605765624997
b3i7,13.070605765624997,13.161473891666663
b3i8,13.161473891666663,13.438037891666664
b3i9,13.438037891666664,13.530009047916664
b3i10,13.530009047916664,13.805276485416664
b3i11,13.805276485416664,13.898342378124998
b3i12,13.898342378124998,14.170810856249998
b3i13,14.170810856249998,14.26192960625
b3i14,14.26192960625,14.534657637499995
b3i15,14.534657637499995,14.625358981249995
b3i16,14.625358981249995,14.89834985625
b3i17,14.89834985625,14.98863948125
b3i18,14.98863948125,15.25739727395833
b3i19,15.25739727395833,15.34728074270833
b3i20,15.34728074270833,15.616328055208331
b3i21,15.616328055208331,15.705810773958332
b3i22,15.705810773958332,15.975150230208332
b3i23,15.975150230208332,16.06423754270833
b3i24,16.06423754270833,16.329429078124996
b3i25,16.329429078124996,16.418126140625
b3i26,16.418126140625,16.683637671874997
b3i27,16.683637671874997,16.771949578125
b3i28,16.771949578125,17.037783505208335
b3i29,17.037783505208335,17.125715255208334
b3i30,17.125715255208334,17.3874818
b3i31,17.3874818,17.475038268749998
b3i32,17.475038268749998,17.738607864583326
b4i1,17.738607864583326,17.825793802083325
b4i2,17.825793802083325,18.08534945625
b4i3,18.08534945625,18.17216951875
b4i4,18.17216951875,18.432086049999988
b4i5,18.432086049999988,18.518544799999987
b4i6,18.518544799999987,18.77882362708332
b4i7,18.77882362708332,18.86492553333332
b4i8,18.86492553333332,19.12126744791665
b4i9,19.12126744791665,19.20701691666665
b4i10,19.20701691666665,19.463741447916647
b4i11,19.463741447916647,19.549142760416647
b4i12,19.549142760416647,19.80625111145832
b4i13,19.80625111145832,19.89130845520832
b4i14,19.89130845520832,20.14455306979166
b4i15,20.14455306979166,20.22927063229166
b4i16,20.22927063229166,20.482918101041665
b4i17,20.482918101041665,20.567299851041668
b4i18,20.567299851041668,20.82135085416668
b4i19,20.82135085416668,20.90540076041668
b4i20,20.90540076041668,21.155657709375014
b4i21,21.155657709375014,21.23937970937501
b4i22,21.23937970937501,21.49005811562501
b4i23,21.49005811562501,21.57345599062501
b4i24,21.57345599062501,21.82455626875001
b4i25,21.82455626875001,21.90763373750001
b4i26,21.90763373750001,22.155006315625005
b4i27,22.155006315625005,22.237767034375008
b4i28,22.237767034375008,22.48557819062501
b4i29,22.48557819062501,22.568025784375006
b4i30,22.568025784375006,22.816275644791663
b4i31,22.816275644791663,22.898413613541667
b4i32,22.898413613541667,23.14436701979167
b5i1,23.14436701979167,23.22619886354167
b5i2,23.22619886354167,23.469876455208336
b5i3,23.469876455208336,23.551405548958336
b5i4,23.551405548958336,23.79554245520834
b5i5,23.79554245520834,23.876772142708344
b5i6,23.876772142708344,24.12136591875001
b5i7,24.12136591875001,24.20229948125001
b5i8,24.20229948125001,24.44331187812501
b5i9,24.44331187812501,24.523952503125013
b5i10,24.523952503125013,24.76543862812501
b5i11,24.76543862812501,24.84578950312501
b5i12,24.84578950312501,25.087746563541675
b5i13,25.087746563541675,25.167810782291674
b5i14,25.167810782291674,25.406246023958342
b5i15,25.406246023958342,25.48602661770834
b5i16,25.48602661770834,25.72494633645833
b5i17,25.72494633645833,25.804446305208334
b5i18,25.804446305208334,26.04252855520833
b5i19,26.04252855520833,26.12307235833333
b5i20,26.12307235833333,26.359009021875
b5i21,26.359009021875,26.437956490625
b5i22,26.437956490625,26.674389959375
b5i23,26.674389959375,26.753065490625005
b5i24,26.753065490625005,26.98868727187501
b5i25,26.98868727187501,27.06839930416668
b5i26,27.06839930416668,27.30321774166668
b5i27,27.30321774166668,27.380054242708347
b5i28,27.380054242708347,27.61407749270835
b5i29,27.61407749270835,27.69195371145836
b5i30,27.69195371145836,27.92518983645835
b5i31,27.92518983645835,28.002805023958352
b5i32,28.002805023958352,28.236554403125023
b6i1,28.236554403125023,28.313911121875023
b6i2,28.313911121875023,28.54430822708336
b6i3,28.54430822708336,28.62140900833336
b6i4,28.62140900833336,28.85233035208336
b6i5,28.85233035208336,28.92917775833336
b6i6,28.92917775833336,29.160620376041688
b6i7,29.160620376041688,29.23721690729169
b6i8,29.23721690729169,29.46535940937503
b6i9,29.46535940937503,29.541707471875032
b6i10,29.541707471875032,29.77038172187504
b6i11,29.77038172187504,29.846483753125035
b6i12,29.846483753125035,30.07442347187504
b6i13,30.07442347187504,30.151545142708365
b6i14,30.151545142708365,30.37875736145836
b6i15,30.37875736145836,30.45311307708336
b6i16,30.45311307708336,30.67960463958336
b6i17,30.67960463958336,30.75498257708336
b6i18,30.75498257708336,30.980760327083363
b6i19,30.980760327083363,31.055901452083365
b6i20,31.055901452083365,31.28222341562504
b6i21,31.28222341562504,31.35712991562504
b6i22,31.35712991562504,31.58025254062504
b6i23,31.58025254062504,31.65492663437503
b6i24,31.65492663437503,31.878602696875024
b6i25,31.878602696875024,31.953046540625024
b6i26,31.953046540625024,32.177272914583355
b6i27,32.177272914583355,32.25148860208336
b6i28,32.25148860208336,32.47256172291669
